llat,llon,ulat,ulon,url
43.52902291445537,-128.47136555240465,43.88172427698888,-128.11866418987114,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_0_0_1000_1000.tif
43.17632155192186,-128.47136555240465,43.52902291445537,-128.11866418987114,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_0_1000_1000_1000.tif
42.82362018938835,-128.47136555240465,43.17632155192186,-128.11866418987114,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_0_2000_1000_1000.tif
42.470918826854835,-128.47136555240465,42.82362018938834,-128.11866418987114,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_0_3000_1000_1000.tif
42.17676589050188,-128.47136555240465,42.470918826854835,-128.11866418987114,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_0_4000_1000_834.tif
43.52902291445537,-128.11866418987114,43.88172427698888,-127.76596282733763,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_1000_0_1000_1000.tif
43.17632155192186,-128.11866418987114,43.52902291445537,-127.76596282733763,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_1000_1000_1000_1000.tif
42.82362018938835,-128.11866418987114,43.17632155192186,-127.76596282733763,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_1000_2000_1000_1000.tif
42.470918826854835,-128.11866418987114,42.82362018938834,-127.76596282733763,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_1000_3000_1000_1000.tif
42.17676589050188,-128.11866418987114,42.470918826854835,-127.76596282733763,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_1000_4000_1000_834.tif
43.52902291445537,-127.76596282733763,43.88172427698888,-127.41326146480412,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_2000_0_1000_1000.tif
43.17632155192186,-127.76596282733763,43.52902291445537,-127.41326146480412,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_2000_1000_1000_1000.tif
42.82362018938835,-127.76596282733763,43.17632155192186,-127.41326146480412,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_2000_2000_1000_1000.tif
42.470918826854835,-127.76596282733763,42.82362018938834,-127.41326146480412,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_2000_3000_1000_1000.tif
42.17676589050188,-127.76596282733763,42.470918826854835,-127.41326146480412,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_2000_4000_1000_834.tif
43.52902291445537,-127.41326146480412,43.88172427698888,-127.06056010227061,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_3000_0_1000_1000.tif
43.17632155192186,-127.41326146480412,43.52902291445537,-127.06056010227061,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_3000_1000_1000_1000.tif
42.82362018938835,-127.41326146480412,43.17632155192186,-127.06056010227061,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_3000_2000_1000_1000.tif
42.470918826854835,-127.41326146480412,42.82362018938834,-127.06056010227061,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_3000_3000_1000_1000.tif
42.17676589050188,-127.41326146480412,42.470918826854835,-127.06056010227061,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_3000_4000_1000_834.tif
43.52902291445537,-127.06056010227061,43.88172427698888,-126.7078587397371,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_4000_0_1000_1000.tif
43.17632155192186,-127.06056010227061,43.52902291445537,-126.7078587397371,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_4000_1000_1000_1000.tif
42.82362018938835,-127.06056010227061,43.17632155192186,-126.7078587397371,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_4000_2000_1000_1000.tif
42.470918826854835,-127.06056010227061,42.82362018938834,-126.7078587397371,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_4000_3000_1000_1000.tif
42.17676589050188,-127.06056010227061,42.470918826854835,-126.7078587397371,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_4000_4000_1000_834.tif
43.52902291445537,-126.70785873973709,43.88172427698888,-126.35515737720358,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_5000_0_1000_1000.tif
43.17632155192186,-126.70785873973709,43.52902291445537,-126.35515737720358,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_5000_1000_1000_1000.tif
42.82362018938835,-126.70785873973709,43.17632155192186,-126.35515737720358,vz-raster-images/sample_data/LC08_CU_000004_20181231_20190201_C01_V01_INWM_EPSG4326_5000_2000_1000_1000.tif
